fromStation,toStation,fromStation_en,toStation_en,transferId,fromId,toId,nodeId,minWidth,minStairs,minRailsStairs,lift,liftStairsEconomy,minRailsWidth,maxRailsWidth,maxAngle,maxSlope,minStairways,wheelchairFriendlyRoutes,handicappedFriendlyRoutes,luggageFriendlyRoutes,minLiftStairs,lineId,line
Чистые Пруды,Тургеневская,Chistye Prudy,Turgenevskaya,8-95,8,95,74,950,0,0,0,0,0,0,0,0,2,0,1,1,0,1,Сокольническая
Сретенский бульвар,Чистые Пруды,Sretensky Bulvar,Chistye Prudy,8-219,219,8,74,900,26,26,0,0,0,0,0,0,1,0,0,0,26,10,Люблинско-Дмитровская
Сретенский бульвар,Тургеневская,Sretensky Bulvar,Turgenevskaya,95-219,219,219,74,950,23,23,0,0,0,0,0,0,1,0,0,0,23,10,Люблинско-Дмитровская
Тургеневская,Сретенский бульвар,Turgenevskaya,Sretensky Bulvar,95-219,95,219,74,950,23,23,0,0,0,0,0,0,1,0,0,0,23,6,Калужско-Рижская
Тургеневская,Чистые Пруды,Turgenevskaya,Chistye Prudy,8-95,95,8,74,950,0,0,0,0,0,0,0,0,2,0,1,1,0,6,Калужско-Рижская
Китай-город (Калужско-Рижская),Китай-город (Таганско-Краснопресненская),Kitay-Gorod (Kalujsko-Rijskaya),Kitay-Gorod (Tagansko-Krasnopresnenskaya),96-227,96,227,75,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,6,Калужско-Рижская
Китай-город (Таганско-Краснопресненская),Китай-город (Калужско-Рижская),Kitay-Gorod (Tagansko-Krasnopresnenskaya),Kitay-Gorod (Kalujsko-Rijskaya),96-227,227,96,75,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,7,Таганско-Краснопресненская
Октябрьская (Кольцевая),Октябрьская (Калужско-Рижская),Oktyabrskaya (Koltsevaya),Oktyabrskaya (Kalujsko-Rijskaya),75-98,75,98,76,950,22,22,0,0,0,0,0,0,1,0,0,0,22,5,Кольцевая
Октябрьская (Калужско-Рижская),Октябрьская (Кольцевая),Oktyabrskaya (Kalujsko-Rijskaya),Oktyabrskaya (Koltsevaya),75-98,98,75,76,950,22,22,0,0,0,0,0,0,1,0,0,0,22,6,Калужско-Рижская
Новоясеневская,Битцевский парк,Novoyasenevskaya,Bitsevsky Park,109-232,109,232,87,1000,50,0,0,0,430,950,22,40.4,0,0,0,1,50,6,Калужско-Рижская
Битцевский парк,Новоясеневская,Bitsevsky Park,Novoyasenevskaya,109-232,232,109,87,1000,50,0,0,0,430,950,22,40.4,0,0,0,1,50,12,Бутовская
Севастопольская,Каховская,Sevastopolskaya,Kakhovskaya,26-147,26,147,89,1000,41,41,0,0,0,0,0,0,0,0,0,0,41,11,Каховская
Каховская,Севастопольская,Kakhovskaya,Sevastopolskaya,26-147,147,26,89,1000,41,41,0,0,0,0,0,0,0,0,0,0,41,9,Серпуховско-Тимирязевская
Новослободская,Менделеевская,Novoslobodskaya,Mendeleevskaya,68-137,68,137,90,950,45,45,0,0,0,0,0,0,1,0,0,0,45,5,Кольцевая
Менделеевская,Новослободская,Mendeleevskaya,Novoslobodskaya,68-137,137,68,90,950,45,45,0,0,0,0,0,0,1,0,0,0,45,9,Серпуховско-Тимирязевская
Комсомольская (Сокольническая),Комсомольская (Кольцевая),Komsomolskaya (Sokolnicheskaya),Komsomolskaya (Koltsevaya),6-70,6,70,91,950,21,21,0,0,0,0,0,0,2,0,0,0,21,1,Сокольническая
Комсомольская (Кольцевая),Комсомольская (Сокольническая),Komsomolskaya (Koltsevaya),Komsomolskaya (Sokolnicheskaya),6-70,70,6,91,950,21,21,0,0,0,0,0,0,2,0,0,0,21,5,Кольцевая
